UPZMUNCC,yr,wk,cases,OUTBREAK,prev_cases,cases_mean,active_weeks,division_lvl,lag1,lag2,roll3,prev_active,wk_sin,wk_cos
AGAILJHARA,2026,21,0,0,0.0,0.045454545454545456,1,BARISAL,0.0,0.0,0.0,0,-0.2817325568414298,0.9594929736144974
AGAILJHARA,2026,22,0,0,0.0,0.045454545454545456,1,BARISAL,0.0,0.0,0.0,0,-1.133107779529596e-15,1.0
AKHURA,2026,1,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
AKHURA,2026,2,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
AKHURA,2026,3,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
AKHURA,2026,4,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
AKHURA,2026,5,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,0.9898214418809327,0.14231483827328512
AKHURA,2026,6,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,0.9898214418809328,-0.142314838273285
AKHURA,2026,7,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,0.9096319953545184,-0.4154150130018863
AKHURA,2026,8,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,0.7557495743542583,-0.654860733945285
AKHURA,2026,9,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,0.5406408174555978,-0.8412535328311811
AKHURA,2026,10,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,0.28173255684142967,-0.9594929736144974
AKHURA,2026,11,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,5.66553889764798e-16,-1.0
AKHURA,2026,12,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,-0.2817325568414294,-0.9594929736144975
AKHURA,2026,13,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,-0.5406408174555976,-0.8412535328311812
AKHURA,2026,14,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,-0.7557495743542582,-0.6548607339452852
AKHURA,2026,15,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,-0.909631995354518,-0.41541501300188716
AKHURA,2026,16,1,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,-0.9898214418809327,-0.14231483827328523
AKHURA,2026,17,0,0,1.0,0.045454545454545456,1,CHITTAGONG,1.0,0.0,1.0,1,-0.9898214418809328,0.14231483827328487
AKHURA,2026,18,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,1.0,1.0,0,-0.9096319953545186,0.41541501300188605
AKHURA,2026,19,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,1.0,0,-0.7557495743542587,0.6548607339452845
AKHURA,2026,20,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,-0.5406408174555974,0.8412535328311812
AKHURA,2026,21,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,-0.2817325568414298,0.9594929736144974
AKHURA,2026,22,0,0,0.0,0.045454545454545456,1,CHITTAGONG,0.0,0.0,0.0,0,-1.133107779529596e-15,1.0
AKKELPUR,2026,1,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
AKKELPUR,2026,2,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
AKKELPUR,2026,3,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
AKKELPUR,2026,4,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
AKKELPUR,2026,5,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,0.0,0,0.9898214418809327,0.14231483827328512
AKKELPUR,2026,6,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,0.0,0,0.9898214418809328,-0.142314838273285
AKKELPUR,2026,7,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,0.0,0,0.9096319953545184,-0.4154150130018863
AKKELPUR,2026,8,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,0.0,0,0.7557495743542583,-0.654860733945285
AKKELPUR,2026,9,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,0.0,0,0.5406408174555978,-0.8412535328311811
AKKELPUR,2026,10,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,0.0,0,0.28173255684142967,-0.9594929736144974
AKKELPUR,2026,11,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,0.0,0,5.66553889764798e-16,-1.0
AKKELPUR,2026,12,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,0.0,0,-0.2817325568414294,-0.9594929736144975
AKKELPUR,2026,13,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,0.0,0,-0.5406408174555976,-0.8412535328311812
AKKELPUR,2026,14,1,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,0.0,0,-0.7557495743542582,-0.6548607339452852
AKKELPUR,2026,15,0,0,1.0,0.045454545454545456,1,RAJSHAHI,1.0,0.0,1.0,1,-0.909631995354518,-0.41541501300188716
AKKELPUR,2026,16,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,1.0,1.0,0,-0.9898214418809327,-0.14231483827328523
AKKELPUR,2026,17,0,0,0.0,0.045454545454545456,1,RAJSHAHI,0.0,0.0,1.0,0,-0.9898214418809328,0.14231483827328487
